mode,noise,memory_cap,arbiter_speed,memory_true_similarity,memory_observable_similarity,memory_arbiter_similarity,count,target_similarity,nearest_non_target,dominance,recovered,competitor_won,coef_X,coef_X_std,coef_Phi,coef_Phi_std,coef_K,coef_K_std,coef_A,coef_A_std
memory_only,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,1.0,0.7278665955888597,0.2721334044111403,0.9425735144485146,0.05742648555148555,,,,,,,,
calibrated_full,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.34602850088764703,0.6229742525724695,-0.2769457516848225,0.27991198616198615,0.7200880138380138,0.01573598875220258,0.2710264636522338,0.006829031017758376,0.22840587248858377,0.009216996023243591,0.18329002104243336,0.003677305693051744,0.3182143538208113
calibrated_no_observable,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.34602850088764703,0.6229742525724695,-0.2769457516848225,0.27991198616198615,0.7200880138380138,0.01573598875220258,0.2710264636522338,0.006829031017758376,0.22840587248858377,0.009216996023243591,0.18329002104243336,0.003677305693051744,0.3182143538208113
calibrated_no_arbiter,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.33556774013075885,0.6311663810105463,-0.29559864087978743,0.20852665852665853,0.7914733414733415,0.01573598875220258,0.2710264636522338,0.006829031017758376,0.22840587248858377,0.009216996023243591,0.18329002104243336,0.003677305693051744,0.3182143538208113
arbiter_only,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.01679085803406006,0.6317998699867728,-0.6150090119527128,0.1305949837199837,0.8694050162800162,,,,,,,,
speed_only_no_memory,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.016790858034060056,0.6317998699867728,-0.6150090119527128,0.1305949837199837,0.8694050162800162,,,,,,,,
observable_only,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.0018246352327233996,0.3556087604528039,-0.35378412522008046,0.01586665649165649,0.9841333435083436,,,,,,,,
shuffled_label_control,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,0.05150785825546571,0.6429100317222141,-0.5914021734667484,0.015841218966218967,0.9841587810337811,,,,,,,,
null_memory,0.05666666666666667,0.625,3.1,0.021326623288740142,0.01732651189910991,0.016964987017440362,2184.0,-6.699704125664789e-05,0.35597921258616455,-0.35604620962742123,0.015412596662596662,0.9845874033374034,,,,,,,,
