mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
exact_template_upper_bound,1.0,1.0,0.015661370901772994,0.1487730411074135,0.1815795212527638,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,24576
arbiter_only,0.18157952125255694,0.18157952125255694,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.25370562486473064,-0.07212610361217366,0.16591815035078397,0.3517659505208333,0.3517659505208333,0.6482340494791666,0.0,0.25,24576
overdriven_arbiter,0.17940132627720365,0.17940132627720365,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.25962700198912414,-0.0802256757119205,0.16373995537543065,0.3372802734375,0.3372802734375,0.6627197265625,0.0,0.25,24576
latent_memory_only,0.14877304110723846,0.14877304110723846,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.3726673931613616,-0.22389435205412314,0.13311167020546547,0.2921956380208333,0.2921956380208333,0.7078043619791666,0.0,0.25,24576
memory_bounded_arbiter,0.14650497157485967,0.14650497157485967,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.34942040219986975,-0.20291543062501013,0.13084360067308667,0.291748046875,0.291748046875,0.708251953125,0.0,0.25,24576
speed_only_no_memory,0.07120828922955498,0.07120828922955498,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.18653974799030235,-0.11533145876074737,0.05554691832778199,0.2576497395833333,0.2576497395833333,0.7423502604166666,0.0,0.25,24576
shuffled_label_control,0.2198487364056072,0.1459571666592842,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.09543896632236958,0.12440977008323763,0.2041873655038342,0.3544769287109375,0.2171630859375,0.6455230712890625,0.2171630859375,0.25,196608
observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,24576
null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772994,0.1487730411074135,0.1815795212527638,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,24576
